Name,Latitude,Longitude,Country
Pitrufquen,-38.9833,-72.65,Chile
Allen,-38.9667,-67.8333,Argentina
Freire,-38.9558,-72.6256,Chile
Neuquen,-38.9525,-68.0642,Argentina
Plottier,-38.95,-68.2333,Argentina
Plaza Huincul,-38.9338,-69.1987,Argentina
Cipolletti,-38.9333,-67.9833,Argentina
Cutral-Co,-38.9333,-69.2333,Argentina
Cunco,-38.9167,-72.0333,Chile
Zapala,-38.9,-70.0667,Argentina
Punta Alta,-38.88,-62.075,Argentina
Cinco Saltos,-38.8167,-68.0667,Argentina
Centenario,-38.8,-68.1333,Argentina
Padre Las Casas,-38.7667,-72.6,Chile
Ingeniero White,-38.7667,-62.2667,Argentina
Nueva Imperial,-38.7433,-72.95,Chile
Temuco,-38.7333,-72.6667,Chile
Bahia Blanca,-38.7167,-62.2667,Argentina
Carahue,-38.7089,-73.1647,Chile
Coronel Dorrego,-38.7,-61.2667,Argentina
Taupo,-38.6875,176.0694,New Zealand
Gisborne,-38.6625,178.0178,New Zealand
Vilcun,-38.65,-72.2333,Chile
Wonthaggi,-38.6056,145.5917,Australia
Cholchol,-38.6,-72.8333,Chile
Las Lajas,-38.6,-70.3,Argentina
Necochea,-38.55,-58.7333,Argentina
Lautaro,-38.5167,-72.45,Chile
Curacautin,-38.4333,-71.8833,Chile
Lonquimay,-38.4333,-71.2333,Chile
Galvarino,-38.4,-72.7833,Chile
Warrnambool,-38.3833,142.4833,Australia
Tres Arroyos,-38.3667,-60.2667,Argentina
Tirua,-38.3414,-73.4911,Chile
Colac,-38.3403,143.5847,Australia
Torquay,-38.3333,144.3167,Australia
Portland,-38.3333,141.6,Australia
Miramar,-38.2667,-57.8333,Argentina
Traiguen,-38.25,-72.6833,Chile
Barwon Heads,-38.25,144.5167,Australia
Victoria,-38.2333,-72.3333,Chile
Morwell,-38.2333,146.4,Australia
Somerville,-38.226,145.177,Australia
Tokoroa,-38.2167,175.8667,New Zealand
Traralgon,-38.1958,146.5403,Australia
Leopold,-38.1892,144.4644,Australia
Mount Eliza,-38.189,145.092,Australia
Moe,-38.1722,146.2678,Australia
Frankston,-38.158,145.135,Australia
Geelong,-38.15,144.35,Australia
Warragul,-38.15,145.9333,Australia
Lumaco,-38.15,-72.9167,Chile
Rotorua,-38.1378,176.2514,New Zealand
Drouin,-38.1333,145.85,Australia
Loberia,-38.1333,-58.7667,Argentina
Sale,-38.1,147.0667,Australia
Cranbourne,-38.0996,145.2834,Australia
Pakenham,-38.0712,145.4878,Australia
Adolfo Gonzales Chaves,-38.0333,-60.0833,Argentina
Puren,-38.0319,-73.0728,Chile
Lara,-38.0167,144.4167,Australia
Te Awamutu,-38.0167,175.3167,New Zealand
Batan,-38.0078,-57.7097,Argentina
Mar del Plata,-38.0,-57.55,Argentina
Dandenong,-37.981,145.215,Australia
Whakatane,-37.96,176.98,New Zealand
Collipulli,-37.95,-72.4333,Chile
Cambridge,-37.8833,175.4667,New Zealand
Catriel,-37.8667,-67.8333,Argentina
Balcarce,-37.8456,-58.2578,Argentina
Bairnsdale,-37.8333,147.6167,Australia
Mount Gambier,-37.8294,140.7828,Australia
Melbourne,-37.8142,144.9631,Australia
Angol,-37.8,-72.7167,Chile
Canete,-37.7994,-73.3953,Chile
Hamilton,-37.7833,175.2833,New Zealand
Mount Evelyn,-37.783,145.385,Australia
Veinticinco de Mayo,-37.7712,-67.7174,Argentina
Hamilton,-37.7333,142.0167,Australia
Mulchen,-37.7167,-72.2333,Chile
Darregueira,-37.6996,-63.1666,Argentina
Tauranga,-37.6833,176.1667,New Zealand
Melton,-37.6833,144.5833,Australia
Santa Barbara,-37.6706,-72.0214,Chile
Benito Juarez,-37.6667,-59.7833,Argentina
Renaico,-37.6667,-72.5833,Chile
Los Alamos,-37.6272,-73.4619,Chile
Lebu,-37.6,-73.6667,Chile
Negrete,-37.5833,-72.5333,Chile
Wollert,-37.5833,145.0333,Australia
Sunbury,-37.5811,144.7139,Australia
Ballarat,-37.5608,143.8475,Australia
Nacimiento,-37.5,-72.6667,Chile
Gisborne,-37.49,144.5889,Australia
Curanilahue,-37.4764,-73.3444,Chile
Los Angeles,-37.4667,-72.35,Chile
Coronel Suarez,-37.4667,-61.9333,Argentina
Wallan,-37.4167,144.9833,Australia
Chos Malal,-37.3833,-70.2667,Argentina
General Acha,-37.3833,-64.6,Argentina
Penola,-37.3786,140.8362,Australia
Tandil,-37.3167,-59.1333,Argentina
Tucapel,-37.2833,-71.95,Chile
Ararat,-37.2833,142.9167,Australia
Laja,-37.2667,-72.7,Chile
Villa Gesell,-37.2556,-56.9681,Argentina
Arauco,-37.25,-73.3167,Chile
Waiuku,-37.249,174.73,New Zealand
Pukekohe East,-37.2,174.9,New Zealand
Carhue,-37.1796,-62.7601,Argentina
Thames,-37.1383,175.5375,New Zealand
Yumbel,-37.1333,-72.5333,Chile
Ayacucho,-37.1333,-58.4667,Argentina
Yungay,-37.1194,-72.0189,Chile
Pinamar,-37.1,-56.85,Argentina
Lota,-37.0833,-73.1667,Chile
Edinburgh of the Seven Seas,-37.0675,-12.3105,Saint Helena
Maryborough,-37.05,143.735,Australia
Stawell,-37.05,142.7667,Australia
Cabrero,-37.0333,-72.4,Chile
Seymour,-37.03,145.13,Australia
Coronel,-37.0167,-73.2167,Chile
General Juan Madariaga,-37.0167,-57.1333,Argentina
Manukau City,-37.0,174.885,New Zealand
Hualqui,-36.96,-72.93,Chile
Chiguayante,-36.9167,-73.0167,Chile
Olavarria,-36.9,-60.3333,Argentina
Merimbula,-36.8983,149.9011,Australia
Maipu,-36.8667,-57.8667,Argentina
Waitakere,-36.85,174.543,New Zealand
Auckland,-36.8406,174.74,New Zealand
Concepcion,-36.8282,-73.0514,Chile
Florida,-36.8167,-72.6667,Chile
Kingston South East,-36.8167,139.85,Australia
Northcote,-36.8019,174.7494,New Zealand
Azul,-36.7833,-59.85,Argentina
Kangaroo Flat,-36.7833,144.233,Australia
Bendigo,-36.75,144.2667,Australia
Huachipato,-36.7481,-73.0986,Chile
Penco,-36.7333,-72.9833,Chile
Bulnes,-36.7333,-72.3,Chile
Mar de Ajo,-36.7203,-56.6878,Argentina
Talcahuano,-36.7167,-73.1219,Chile
Horsham,-36.7167,142.2,Australia
Pinto,-36.7,-71.9,Chile
Chillan Viejo,-36.6229,-72.1317,Chile
Santa Rosa,-36.6167,-64.2833,Argentina
Tome,-36.6167,-72.95,Chile
Chillan,-36.6067,-72.1033,Chile
Daireaux,-36.6,-61.75,Argentina
Benalla,-36.5519,145.9817,Australia
Coelemu,-36.4878,-72.7028,Chile
Shepparton,-36.3833,145.4,Australia
Wangaratta,-36.3583,146.3125,Australia
Dolores,-36.3167,-57.6667,Argentina
Bordertown,-36.3118,140.7702,Australia
Quirihue,-36.2833,-72.5333,Chile
Henderson,-36.2833,-61.7167,Argentina
Chanco,-36.2667,-72.7167,Chile
Cooma,-36.2317,149.1178,Australia
Victorica,-36.2167,-65.45,Argentina
Parral,-36.15,-71.8333,Chile
Echuca,-36.1333,144.75,Australia
Wodonga,-36.1214,146.8881,Australia
Albury,-36.0806,146.9158,Australia
Retiro,-36.0333,-71.7667,Chile
General Alvear,-36.0333,-60.0167,Argentina
Las Flores,-36.0139,-59.1,Argentina
Cauquenes,-35.9667,-72.35,Chile
Longavi,-35.9667,-71.6833,Chile
Cobram,-35.9667,145.65,Australia
Linares,-35.85,-71.6,Chile
General Belgrano,-35.7667,-58.5,Argentina
Yerbas Buenas,-35.75,-71.5667,Chile
Whangarei,-35.725,174.3236,New Zealand
Batemans Bay,-35.7081,150.1744,Australia
Colbun,-35.7,-71.4167,Chile
Meningie,-35.6883,139.338,Australia
General Pico,-35.6667,-63.7333,Argentina
Villa Alegre,-35.6667,-71.75,Chile
Carlos Casares,-35.6167,-61.3667,Argentina
San Javier,-35.5924,-71.7353,Chile
Chascomus,-35.575,-58.0089,Argentina
San Clemente,-35.55,-71.4833,Chile
Victor Harbor,-35.55,138.6167,Australia
Maule,-35.5333,-71.7,Chile
Deniliquin,-35.5331,144.9667,Australia
Malargue,-35.475,-69.5833,Argentina
Nueve de Julio,-35.45,-60.8833,Argentina
Talca,-35.4269,-71.6656,Chile
Veinticinco de Mayo,-35.4167,-60.1667,Argentina
Queanbeyan,-35.3533,149.2342,Australia
Ulladulla,-35.3486,150.4678,Australia
Constitucion,-35.3333,-72.4167,Chile
Swan Hill,-35.3333,143.55,Australia
Tumut,-35.3039,148.2233,Australia
Canberra,-35.2931,149.1269,Australia
Kerikeri,-35.2244,173.9514,New Zealand
Lobos,-35.1833,-59.0833,Argentina
Brandsen,-35.1667,-58.2167,Argentina
Wagga Wagga,-35.1189,147.3689,Australia
Murray Bridge,-35.117,139.267,Australia
Bragado,-35.1167,-60.5,Argentina
Molina,-35.1144,-71.2825,Chile
Kaitaia,-35.1125,173.2628,New Zealand
Curepto,-35.0833,-72.0167,Chile
Magdalena,-35.0833,-57.5167,Argentina
Mount Barker,-35.0667,138.85,Australia
Ouyen,-35.0667,142.317,Australia
Canuelas,-35.0333,-58.7333,Argentina
General Villegas,-35.0333,-63.0167,Argentina
Albany,-35.0228,117.8814,Australia
Navarro,-35.0167,-59.2667,Argentina
Sagrada Familia,-35.0,-71.3833,Chile
General Viamonte,-35.0,-61.0333,Argentina
Curico,-34.9833,-71.2333,Chile
Hualane,-34.9765,-71.8048,Chile
General Alvear,-34.9667,-67.7,Argentina
Alejandro Korn,-34.9667,-58.3667,Argentina
Punta del Este,-34.9667,-54.95,Uruguay
Melchor Romero,-34.9492,-58.0472,Argentina
Bellavista,-34.9333,-71.3167,Chile
General Las Heras,-34.9333,-58.95,Argentina
Adelaide,-34.9275,138.6,Australia
La Plata,-34.9211,-57.9544,Argentina
Guernica,-34.9167,-58.3833,Argentina
Rauco,-34.9167,-71.3167,Chile
Maldonado,-34.9,-54.95,Uruguay
Chivilcoy,-34.9,-60.0167,Argentina
Piriapolis,-34.9,-55.2833,Uruguay
Montevideo,-34.8836,-56.1819,Uruguay
Glew,-34.8833,-58.3833,Argentina
Carlos Spegazzini,-34.8833,-58.5667,Argentina
Nowra,-34.8808,150.6075,Australia
Berisso,-34.8728,-57.8858,Argentina
Paso de Carrasco,-34.8714,-56.0272,Uruguay
Teno,-34.8667,-71.1833,Chile
Ensenada,-34.8644,-57.9103,Argentina
Longchamps,-34.85,-58.3833,Argentina
City Bell,-34.85,-58.05,Argentina
Lincoln,-34.85,-61.5167,Argentina
Manuel B. Gonnet,-34.85,-58.0167,Argentina
Jose Maria Ezeiza,-34.8333,-58.5167,Argentina
Huinca Renanco,-34.8333,-64.3833,Argentina
Florencio Varela,-34.8167,-58.2833,Argentina
Florencio Varela,-34.8167,-58.3833,Argentina
Ciudad de la Costa,-34.8167,-55.95,Uruguay
Esteban Echeverria,-34.8167,-58.4667,Argentina
Burzaco,-34.8167,-58.3667,Argentina
Colonia Nicolich,-34.8167,-56.0167,Uruguay
Claypole,-34.8,-58.3333,Argentina
Adrogue,-34.8,-58.3833,Argentina
San Carlos,-34.8,-54.9167,Uruguay
El Pinar,-34.7972,-55.9097,Uruguay
Rafael Calzada,-34.7833,-58.3667,Argentina
Jose Marmol,-34.7833,-58.3667,Argentina
Salinas,-34.7833,-55.8333,Uruguay
Gonzalez Catan,-34.7667,-58.6167,Argentina
Temperley,-34.7667,-58.3833,Argentina
Lomas de Zamora,-34.7667,-58.4,Argentina
San Francisco Solano,-34.7667,-58.3167,Argentina
Llavallol,-34.7667,-58.3833,Argentina
Marcos Paz,-34.7667,-58.8333,Argentina
Ciudad del Plata,-34.7667,-56.3806,Uruguay
La Paz,-34.7617,-56.2233,Uruguay
Goulburn,-34.7547,149.6186,Australia
Barros Blancos,-34.7542,-56.0042,Uruguay
Ezpeleta,-34.7517,-58.2344,Argentina
Banfield,-34.75,-58.3833,Argentina
Monte Chingolo,-34.7333,-58.35,Argentina
Chepica,-34.7333,-71.2833,Chile
Port Lincoln,-34.7322,135.8586,Australia
Quilmes,-34.7167,-58.2667,Argentina
Berazategui,-34.7167,-58.25,Argentina
Rafael Castillo,-34.7167,-58.6167,Argentina
Ciudad General Belgrano,-34.7167,-58.5333,Argentina
Remedios de Escalada,-34.7167,-58.4,Argentina
Las Piedras,-34.7167,-56.2167,Uruguay
Mariano Acosta,-34.7167,-58.7833,Argentina
Pando,-34.7167,-55.9583,Uruguay
Chimbarongo,-34.7089,-71.0431,Chile
Aldo Bonzi,-34.7083,-58.5181,Argentina
Tapiales,-34.7058,-58.5047,Argentina
Villa Celina,-34.7006,-58.4825,Argentina
Lanus,-34.7,-58.4,Argentina
Isidro Casanova,-34.7,-58.5833,Argentina
Bernal,-34.7,-58.2833,Argentina
Wilde,-34.7,-58.3167,Argentina
Don Bosco,-34.7,-58.2833,Argentina
Villa Dominico,-34.6917,-58.3333,Argentina
San Justo,-34.6833,-58.55,Argentina
Libertad,-34.6833,-58.6833,Argentina
Gerli,-34.6833,-58.3667,Argentina
Sarandi,-34.6833,-58.3333,Argentina
Kiama,-34.6708,150.8542,Australia
Ituzaingo,-34.6667,-58.6667,Argentina
Castelar,-34.6667,-58.6667,Argentina
Villa Luzuriaga,-34.6667,-58.5833,Argentina
Lomas del Mirador,-34.6667,-58.5297,Argentina
Villa Alsina,-34.6667,-58.4167,Argentina
Nancagua,-34.6667,-71.2167,Chile
Merlo,-34.6653,-58.7275,Argentina
Progreso,-34.665,-56.2194,Uruguay
Avellaneda,-34.6625,-58.3678,Argentina
Ramos Mejia,-34.65,-58.5667,Argentina
Moron,-34.65,-58.6167,Argentina
Haedo,-34.65,-58.6,Argentina
Mercedes,-34.65,-59.4333,Argentina
La Paloma,-34.65,-54.1667,Uruguay
Dock Sur,-34.6417,-58.3478,Argentina
La Reja,-34.6394,-58.8283,Argentina
Santa Cruz,-34.6372,-71.3631,Chile
Ciudadela,-34.6333,-58.5333,Argentina
Villa Sarmiento,-34.6333,-58.5667,Argentina
Libertad,-34.6333,-56.6192,Uruguay
Chacabuco,-34.6333,-60.4667,Argentina
Mount Barker,-34.63,117.6669,Australia
El Palomar,-34.6167,-58.5833,Argentina
General Rodriguez,-34.6167,-58.95,Argentina
Caseros,-34.6106,-58.5625,Argentina
Palmilla,-34.6042,-71.3583,Chile
San Rafael,-34.6,-68.3333,Argentina
Martin Coronado,-34.6,-58.55,Argentina
Buenos Aires,-34.5997,-58.3819,Argentina
Gawler,-34.5981,138.745,Australia
Hurlingham,-34.5883,-58.6392,Argentina
Junin,-34.5833,-60.95,Argentina
San Fernando,-34.5833,-70.9833,Chile
Lujan,-34.5667,-59.1,Argentina
Billinghurst,-34.5667,-58.5333,Argentina
Leeton,-34.5667,146.4,Australia
Moss Vale,-34.55,150.3833,Australia
San Miguel,-34.5333,-58.7167,Argentina
Bella Vista,-34.5333,-58.6667,Argentina
Munro,-34.5333,-58.5167,Argentina
Vicente Lopez,-34.5333,-58.475,Argentina
Muniz,-34.5333,-58.7,Argentina
Bredasdorp,-34.5333,20.0417,South Africa
Villa Adelina,-34.5175,-58.5475,Argentina
Jose C. Paz,-34.5167,-58.7667,Argentina
Florida,-34.5167,-58.5,Argentina
Canelones,-34.5167,-56.2833,Uruguay
Los Polvorines,-34.5,-58.7,Argentina
Don Torcuato,-34.5,-58.6167,Argentina
Peralillo,-34.4875,-71.4917,Chile
Grand Bourg,-34.4833,-58.7167,Argentina
Martinez,-34.4833,-58.5,Argentina
Rocha,-34.4833,-54.35,Uruguay
La Lucila,-34.4833,-58.4833,Argentina
Bowral,-34.4792,150.4181,Australia
El Talar de Pacheco,-34.4719,-58.655,Argentina
Colonia del Sacramento,-34.4714,-57.8442,Uruguay
Beccar,-34.4667,-58.5167,Argentina
San Isidro,-34.4667,-58.5167,Argentina
Ingeniero Pablo Nogues,-34.4667,-58.7667,Argentina
Acasusso,-34.4667,-58.5167,Argentina
Pilar,-34.4588,-58.9142,Argentina
Santa Lucia,-34.4525,-56.3964,Uruguay
General Pacheco,-34.45,-58.65,Argentina
Rinconada de Malloa,-34.4464,-70.9458,Chile
San Vicente de Tagua Tagua,-34.4394,-71.0761,Chile
Wollongong,-34.4331,150.8831,Australia
Juan L. Lacaze,-34.4311,-57.4483,Uruguay
Garin,-34.4167,-58.75,Argentina
Rengo,-34.4167,-70.8667,Chile
Hermanus,-34.4167,19.25,South Africa
Peumo,-34.3961,-71.1694,Chile
Pichilemu,-34.3919,-72.0139,Chile
Carmen de Areco,-34.3858,-59.8294,Argentina
Minas,-34.3667,-55.2333,Uruguay
Matheu,-34.3667,-58.8333,Argentina
Ingeniero Maschwitz,-34.3667,-58.75,Argentina
Tumby Bay,-34.3667,136.1,Australia
Pichidegua,-34.3586,-71.2831,Chile
Quinta de Tilcoco,-34.3547,-70.9636,Chile
San Jose,-34.3333,-56.7167,Uruguay
Belen de Escobar,-34.3333,-58.8167,Argentina
Rosario,-34.3139,-57.3525,Uruguay
Coltauco,-34.3,-71.1,Chile
Young,-34.3,148.3,Australia
Las Cabras,-34.2917,-71.3097,Chile
Griffith,-34.29,146.04,Australia
Nueva Helvecia,-34.2833,-57.2,Uruguay
Capilla del Senor,-34.2833,-59.1,Argentina
Berri,-34.2833,140.6,Australia
Requinoa,-34.2786,-70.8117,Chile
Rufino,-34.2667,-62.7,Argentina
Manjimup,-34.2411,116.1464,Australia
Olivar Bajo,-34.233,-70.883,Chile
Caledon,-34.23,19.4283,South Africa
Donihue,-34.2261,-70.965,Chile
Aigua,-34.2,-54.75,Uruguay
Castillos,-34.1989,-53.8575,Uruguay
Lo Miranda,-34.19,-70.89,Chile
Mildura,-34.1889,142.1583,Australia
Mossel Bay,-34.1833,22.1333,South Africa
Machali,-34.1825,-70.6514,Chile
Rancagua,-34.1667,-70.75,Chile
Campana,-34.1667,-58.9167,Argentina
Capitan Sarmiento,-34.1667,-59.7833,Argentina
Laboulaye,-34.1167,-63.4,Argentina
Florida,-34.1,-56.2167,Uruguay
Zarate,-34.0833,-59.0333,Argentina
Campbelltown,-34.0733,150.8261,Australia
Arrecifes,-34.0667,-60.1167,Argentina
Graneros,-34.0647,-70.7264,Chile
Mitchells Plain,-34.0506,18.6181,South Africa
Plettenberg Bay,-34.05,23.3667,South Africa
Khayelitsha,-34.0403,18.6778,South Africa
Knysna,-34.0356,23.0489,South Africa
Codegua,-34.0347,-70.6686,Chile
Kuilsrivier,-34.0333,18.7,South Africa
Jeffrey's Bay,-34.0333,24.9167,South Africa
Swellendam,-34.0231,20.44,South Africa
Carmelo,-34.0,-58.2833,Uruguay
Villa Canas,-34.0,-61.6,Argentina
Summerstrand,-33.9914,25.6569,South Africa
Villiersdorp,-33.9833,19.2833,South Africa
San Francisco de Mostazal,-33.9799,-70.7122,Chile
George,-33.9667,22.45,South Africa
Port Elizabeth,-33.9581,25.6,South Africa
Stellenbosch,-33.9367,18.8614,South Africa
Cape Town,-33.9253,18.4239,South Africa
Wallaroo,-33.9167,137.6167,Australia
San Pedro,-33.8944,-71.4558,Chile
Pergamino,-33.8836,-60.5669,Argentina
Nueva Palmira,-33.8833,-58.4167,Uruguay
Colon,-33.8833,-61.1,Argentina
Sydney,-33.8678,151.21,Australia
Justo Daract,-33.8667,-65.1667,Argentina
Esperance,-33.8611,121.8919,Australia
Clare,-33.8333,138.6,Australia
Cowra,-33.8183,148.6578,Australia
Paine,-33.8167,-70.75,Chile
Baradero,-33.8,-59.5167,Argentina
Robertson,-33.8,19.8833,South Africa
Montagu,-33.7833,20.1167,South Africa
Penrith,-33.7511,150.6942,Australia
Uitenhage,-33.75,25.4,South Africa
Venado Tuerto,-33.75,-61.9667,Argentina
Isla de Maipo,-33.75,-70.9,Chile
Quakers Hill,-33.7344,150.8789,Australia
Buin,-33.7333,-70.7333,Chile
Paarl,-33.7242,18.9558,South Africa
Katoomba,-33.715,150.312,Australia
Villa Paranacito,-33.7,-58.6833,Argentina
Chuy,-33.6964,-53.46,Uruguay
Katanning,-33.6908,117.5553,Australia
El Monte,-33.6833,-71.0167,Chile
San Jose de Maipo,-33.6833,-70.3333,Chile
Cowell,-33.6833,136.9167,Australia
San Pedro,-33.6794,-59.6669,Argentina
Lascano,-33.6739,-54.2075,Uruguay
Villa Mercedes,-33.6667,-65.4667,Argentina
Talagante,-33.6667,-70.8667,Chile
Busselton,-33.6478,115.3458,Australia
Worcester,-33.645,19.4436,South Africa
Rocas de Santo Domingo,-33.6358,-71.6281,Chile
Pirque,-33.6333,-70.55,Chile
Calera de Tango,-33.6302,-70.7616,Chile
Melipilla,-33.6253,-71.2711,Chile
Puente Alto,-33.6167,-70.5667,Chile
Penaflor,-33.6167,-70.9167,Chile
Richmond,-33.5983,150.7511,Australia
San Antonio,-33.5933,-71.6217,Chile
Port Alfred,-33.5917,26.8875,South Africa
San Bernardo,-33.5833,-70.7,Chile
La Pintana,-33.5833,-70.6333,Chile
Oudtshoorn,-33.5833,22.2,South Africa
Ravensthorpe,-33.5831,120.049,Australia
El Bosque,-33.5667,-70.675,Chile
Padre Hurtado,-33.5667,-70.8333,Chile
Tunuyan,-33.5667,-69.0167,Argentina
Cartagena,-33.5425,-71.5958,Chile
La Florida,-33.5333,-70.5833,Chile
La Granja,-33.5333,-70.625,Chile
San Ramon,-33.5333,-70.6417,Chile
Dolores,-33.5333,-58.2167,Uruguay
Trinidad,-33.5333,-56.8833,Uruguay
Alcorta,-33.5333,-61.1167,Argentina
